0,armchair
1,armoire
2,bar stool
3,bassinet
4,beach chair
5,bean bag chair
6,bed
7,bed table
8,bench
9,bentwood rocker
10,bergere
11,bookcase
12,bookshelf
13,breakfront
14,buffet
15,bunk bed
16,bureau
17,cabinet
18,canopy bed
19,captain's chair
20,card table
21,carpet
22,cart
23,chair
24,chaise lounge
25,chandelier
26,chest
27,chest of drawers
28,china cabinet
29,clothes valet
30,club chair
31,coffee table
32,console
33,cot
34,couch
35,cradle
36,credenza
37,crib
38,cubbies
39,cupboard
40,curio
41,curtains
42,cushion
43,deck chair
44,desk
45,desk chair
46,dining room table
47,director's chair
48,display cabinet
49,divan
50,drapery
51,drapes
52,dresser
53,easel
54,easy chair
55,end table
56,fauteuil
57,file cabinet
58,folding chair
59,folding screen
60,footrest
61,footstool
62,four-poster bed
63,furnishings
64,furniture
65,futon
66,game table
67,garden bench
68,gateleg table
69,glider rocker
70,grandfather clock
71,hall tree
72,hammock
73,hassock
74,hat stand
75,headboard
76,highchair
77,hope chest
78,hutch
79,island
80,kitchen island
81,ladderback chair
82,lamp
83,lawn chair
84,lift chair
85,light
86,lintel
87,lounge chair
88,lounger
89,love seat
90,mantle
91,mattress
92,mirror
93,Murphy bed
94,nightstand
95,office chair
96,ottoman
97,pantry
98,park bench
99,patio chair
100,patio table
101,pew
102,piano bench
103,picnic table
104,pillow
105,porch swing
106,rack
107,recliner
108,rocking chair
109,room divider
110,rug
111,sconce
112,screen
113,seat
114,secretary
115,sectional sofa
116,settee
117,shelf
118,shoji screen
119,sideboard
120,sleeper sofa
121,sofa
122,sofabed
123,stool
124,table
125,tansu
126,tea cart
127,throne
128,throw rug
129,trundle bed
130,tuffet
131,valet
132,vanity
133,Venetian blinds
134,vitrine
135,wardrobe
136,waste basket
137,waterbed
138,window shades
139,Windsor chair
140,wing chair
141,work table
142,writing desk
